journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nature,415319416,10,auto,984,43441,0.22012605
nature,778336475,10,auto,33,42715,-0.5628448
nature,871358440,10,auto,1057,43006,0.3246861
nature,289843286,10,auto,60,43043,-0.6706186
nature,1080126904,10,auto,34,43044,-0.64539266
nature,1958265131,10,auto,130,41744,-0.71259797
nature,1590716001,10,auto,922,42017,0.16307758
nature,1002927151,10,auto,992,43078,0.24558803
nature,23333778,10,auto,949,42404,0.17812313
nature,693794476,10,auto,89,41369,-0.6855356
nature,1686500463,10,auto,79,43096,-0.685263
nature,865361282,10,auto,1011,42545,0.24097323
nature,1760395907,10,auto,938,42173,0.14082853
nature,1191973748,10,auto,120,41171,-0.7015824
nature,1669121006,10,auto,8,42046,-0.26881248
nature,866294658,10,auto,931,42889,0.20836687
nature,1537528025,10,auto,1013,42241,0.26744774
nature,1558396996,10,auto,77,42484,-0.6682445
nature,1832937541,10,auto,139,42920,-0.6843522
nature,1553331963,10,auto,954,42720,0.24106129
nature,626540508,10,auto,240,42769,-0.65554875
nature,252605831,10,auto,99,42601,-0.7072495
nature,1871561767,10,auto,950,42108,0.18521409
nature,1171084747,10,auto,961,41573,0.2217702
nature,1874760770,10,auto,114,42276,-0.6918217
nature,1154122082,10,auto,203,42383,-0.6843246
nature,2136131430,10,auto,138,42007,-0.6934754
nature,965364732,10,auto,65,43265,-0.6899606
nature,1757025162,10,auto,1017,42290,0.28087667
nature,1727042082,10,auto,110,42860,-0.69141275
nature,175325077,10,auto,237,42256,-0.66144663
nature,1339979806,10,auto,61,42974,-0.6705828
nature,1551267952,10,auto,208,43106,-0.68763655
nature,1882947239,10,auto,41,41503,-0.6164035
nature,552965935,10,auto,93,41482,-0.7041645
nature,744570920,10,auto,1030,42888,0.3080311
nature,942936468,10,auto,49,42301,-0.63290024
nature,198080396,10,auto,217,42461,-0.6629188
nature,1573304740,10,auto,112,42564,-0.71249616
nature,63155138,10,auto,22,42412,-0.5356762
nature,941297817,10,auto,137,42159,-0.7069696
nature,2139705386,10,auto,942,42347,0.22180581
nature,1278326627,10,auto,21,42504,-0.56963545
nature,569000819,10,auto,945,42737,0.16075735
nature,2029378429,10,auto,963,42853,0.19462992
nature,155761771,10,auto,964,42435,0.17219651
nature,1811075101,10,auto,1000,42246,0.25976408
nature,145590158,10,auto,963,41679,0.22960086
nature,650611801,10,auto,944,42782,0.1708215
nature,39725411,10,auto,101,42431,-0.67757523
nature,572752181,10,auto,959,42305,0.22171648
nature,2028448817,10,auto,18,42276,-0.5199195
nature,2096008382,10,auto,962,42892,0.21728803
nature,1202882411,10,auto,1017,42427,0.2772099
nature,1886447798,10,auto,10,42443,-0.4642665
nature,345184044,10,auto,52,42652,-0.65509135
