journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nejm,415319416,10,auto,189,3882,0.19683535
nejm,778336475,10,auto,203,3680,0.20161127
nejm,871358440,10,auto,241,3797,0.37230062
nejm,289843286,10,auto,205,3900,0.19858335
nejm,1080126904,10,auto,7,4096,-0.37464446
nejm,1958265131,10,auto,245,3943,0.3712868
nejm,1590716001,10,auto,8,4201,-0.40101942
nejm,1002927151,10,auto,52,4127,-0.5348681
nejm,23333778,10,auto,222,4195,0.30586964
nejm,693794476,10,auto,226,4159,0.2802425
nejm,1686500463,10,auto,249,4122,0.42070833
nejm,865361282,10,auto,245,3778,0.36633497
nejm,1760395907,10,auto,225,4136,0.27670082
nejm,1191973748,10,auto,206,4087,0.27084115
nejm,1669121006,10,auto,231,4082,0.33237466
nejm,866294658,10,auto,224,3825,0.24451104
nejm,1537528025,10,auto,50,4138,-0.5156425
nejm,1558396996,10,auto,221,4074,0.2867295
nejm,1832937541,10,auto,215,3905,0.28883454
nejm,1553331963,10,auto,235,4031,0.33879045
nejm,626540508,10,auto,227,4044,0.31224224
nejm,252605831,10,auto,118,4061,-0.27700984
nejm,1871561767,10,auto,243,4106,0.38276204
nejm,1171084747,10,auto,225,3654,0.3156237
nejm,1874760770,10,auto,210,3880,0.2907331
nejm,1154122082,10,auto,228,3947,0.30603683
nejm,2136131430,10,auto,51,3957,-0.46353784
nejm,965364732,10,auto,216,3902,0.24483572
nejm,1757025162,10,auto,63,3907,-0.48165256
nejm,1727042082,10,auto,225,4098,0.28097704
nejm,175325077,10,auto,225,4044,0.35425162
nejm,1339979806,10,auto,217,3913,0.27349418
nejm,1551267952,10,auto,229,4063,0.33773583
nejm,1882947239,10,auto,239,4257,0.29928702
nejm,552965935,10,auto,8,4229,-0.38368404
nejm,744570920,10,auto,8,3987,-0.40606958
nejm,942936468,10,auto,241,4144,0.30650604
nejm,198080396,10,auto,241,4178,0.33907953
nejm,1573304740,10,auto,52,4133,-0.504436
nejm,63155138,10,auto,48,4089,-0.518875
nejm,941297817,10,auto,246,4040,0.34386584
nejm,2139705386,10,auto,19,4163,-0.524593
nejm,1278326627,10,auto,215,4159,0.26489937
nejm,569000819,10,auto,218,3877,0.29652867
nejm,2029378429,10,auto,246,4016,0.36782634
nejm,155761771,10,auto,207,3620,0.2008259
nejm,1811075101,10,auto,217,4130,0.2510555
nejm,145590158,10,auto,221,3998,0.26156858
nejm,650611801,10,auto,235,3983,0.32933143
nejm,39725411,10,auto,222,4081,0.27173504
nejm,572752181,10,auto,209,4071,0.19979161
